"","closeness_centrality"
"2961557",460031.675356727
"24950101",466527.223016431
"24950102",479258.799932829
"24950105",488145.929243717
"4835108995",501887.290264826
"2961540",500682.243676311
"24950109",505073.916550222
"2961549",522728.003565842
"24950113",526344.289305647
"4077593104",535964.597613009
"24950114",546354.978848362
"4867087535",555932.125478293
"109414",616918.889396407
"2961885",636002.079917619
"2961891",717168.373639934
"1312454086",725321.362781186
"3215687074",737316.295611081
"1547013730",789111.571183077
"1312453936",804577.782232073
"4077568072",818633.637496322
"1312453879",829552.292309815
"1547013601",842831.825283829
"4077568073",857068.064849514
"1547013760",863060.878716956
"1547013593",882493.307869482
"1547013704",906864.166071038
"1547013604",935967.859869099
"1550763732",973996.542579436
"1547013699",975937.023254599
"1547013754",1012022.96246225
"4619022514",1027564.44378062
"3830043581",1045281.85788049
"4077568076",1066262.68031865
"1547393045",1079504.85382549
"1547392865",1090224.56018598
"4077568077",1097449.6683562
"707377287",1110853.26243354
"30056330",1123449.74444371
"25476134",1178975.35557141
"109728",1213605.19744635
"107606",1270808.8212705
"18382242",488600.763312619
"268997560",488452.736174489
"24950093",471699.768632304
"24951853",630171.448980052
"4922952373",633620.247389023
"1046306670",644808.258457848
"109785",628720.55663259
"107587",695545.168771395
"3381130090",685833.582177818
"1782717878",681675.541898873
"2538458898",463274.184208436
"2195965722",465982.794820502
"1939558646",469796.049200044
"5218862786",472482.568734473
"357999964",474092.783931399
"24950104",480241.691304231
"25248113",491077.396206997
"24950107",499556.896714722
"25248114",503846.998382507
"24950110",519589.242129557
"24950111",524849.840184882
"24950112",545994.798041341
"25248126",552235.900008645
"24951721",573986.269765643
"1566270189",596168.963292325
"1566269623",612265.459090516
"18395288",529382.507610298
"25161370",539503.667767866
"1717643537",556583.077984301
"18393873",566929.623632629
"28800667",574783.45663561
"25161371",578629.132412366
"1782724124",594953.936808627
"1684511955",594928.274530483
"10677375",592948.570324409
"10677374",556261.211351125
"1312264610",554195.518724823
"1782718791",552069.604430878
"2902624645",547055.761608163
"4835108996",534186.678439406
"1144619335",518203.893053034
"4835108997",508164.604690686
"1939558704",480368.984019629
"25161357",532637.996874866
"2684431448",531913.547240131
"2684431449",531175.452194158
"107639",504695.784164556
"2387195347",492839.271796939
"2387195344",488731.559868202
"2387194150",484392.760333825
"18395287",578558.452414166
"5043864464",588453.631248155
"1718328435",585168.730457168
"25161369",548447.017364317
"28800672",541539.128146852
"5046005790",526701.846257
"1718328198",522406.738701835
"1771426173",512241.380024319
"104322",501413.939909389
"21307200",565850.584329133
"1782718792",561328.97617158
"104321",651857.062064003
"5046314040",673868.522556653
"24951854",689569.300777287
"2387194128",483954.277036421
"18468951",691933.048631371
"18468953",598876.915986635
"107645",741213.953979195
"1311961826",729696.979095716
"319984684",718171.574121753
"5006978857",711545.91422877
"2466442731",693836.440264904
"18468962",672747.04232622
"107628",608922.541682224
"1951616297",615685.02472642
"1678227045",620340.734012544
"25532384",632326.455578165
"20458277",672034.605273594
"2490721964",681262.727431714
"1571298195",693015.353064677
"1571298141",696611.467505962
"20458276",694103.817839731
"250326914",689616.912981339
"1401416208",679635.906687798
"250327159",640836.173036382
"18469132",606585.392263185
"10677377",588844.411092623
"212927414",606312.07995468
"1401416203",616760.69718784
"4835109002",647446.455296414
"20458272",649422.152173494
"4618510643",663237.813234014
"2934268020",667658.830600574
"2642878568",604831.904455144
"10677376",550527.63223157
"20626307",937346.932092043
"1852996517",904851.371628235
"1852996670",878895.688331418
"1536948474",837408.354190142
"109412",821336.14391737
"20626313",951704.426360284
"4866475732",894863.847299477
"1771426172",517801.236761821
"25161345",525982.609653522
"316763501",541032.310584908
"24950117",545687.240386238
"1721678995",557591.890552825
"25161346",579642.126233391
"28800676",611677.395708656
"1721679015",620059.18719591
"268997562",670358.661305125
"1046334316",697355.553920455
"25632862",714662.148541069
