"","closeness_centrality"
"30287405",968687.867880584
"370243915",1031651.43627656
"244222508",1081966.79266711
"30240831",666184.536110486
"778802582",670161.171271138
"778802587",672150.516723881
"778802594",673777.301257902
"1492416115",674242.259025994
"778802597",675221.358145489
"778802599",676482.315217502
"778804848",676820.372663478
"1900213541",891168.818671111
"775942461",874123.518779681
"989874281",833070.929581812
"775942517",811052.412768066
"775942584",780152.599644492
"1900213537",762865.792121725
"775942683",685769.825998434
"1900213536",673681.570474555
"33238476",669248.586343774
"312718901",687257.317674468
"3171517001",698925.469125903
"312718318",720527.376683615
"137180950",728416.431092272
"1725216525",734427.155847278
"52600120",748099.879664595
"880187107",748574.429163915
"312718912",747852.405583038
"364329376",743523.443423043
"137181013",742762.034777824
"1725216340",741747.193311808
"312718915",736193.972758454
"312718923",729488.283316664
"245802961",728793.287159213
"312719443",726247.664219708
"1888086818",713059.671118627
"33238480",712183.098825484
"34160619",1178370.27087289
"5096779236",1173299.57800808
"370243518",1119260.25254605
"33238508",1067016.94458178
"33238509",1049601.63737994
"370243956",966618.293510654
"30287315",933833.572407089
"778801089",669581.501487168
"778801093",670881.579624732
"778801097",672708.882469528
"1492416094",673691.03020866
"778801101",674736.53438175
"778803827",676012.20177146
"778803830",677510.999699237
"778803833",678851.164910079
"2209383579",681128.611947672
"3374135333",683762.468092885
"2209383485",679610.680209421
"35523904",988670.278886228
"283334269",957477.00603765
"54402744",902113.068457071
"53133862",859357.538179083
"35523908",766715.4891156
"777703067",945584.969685118
"777746930",938602.776220901
"711331221",936859.399140689
"777717014",918374.994353752
"3218293561",862600.739683261
"777737977",847885.657166492
"777814685",810666.063673776
"3933082769",743299.584746256
"767737566",735305.582560078
"89531904",729245.420385075
"263987223",731450.38319899
"3222703107",736265.617023467
"89542475",730954.769566667
"89538018",724944.60838654
"2984287416",723036.612129419
"35523912",721533.393225669
"2412946052",717245.971472976
"1492416102",684148.138799732
"1545387619",680634.85083054
"35523916",671522.406288498
"32218456",1295912.73432732
"4029432528",1285157.69199187
"1886489716",1249417.46799676
"445393649",1178571.20926434
"1283617979",1144491.42868159
"962928677",1136853.81311317
"456876513",1125697.7479068
"40846867",1110164.29344775
"1283617992",944965.983574584
"1283618014",933210.891365773
"4260590675",923330.618385676
"1283618013",881544.619883558
"1283617964",840430.547238284
"33238497",827452.527985405
"1833120520",818667.640307331
"1283628997",816765.333847887
"777913111",738500.210224894
"52599866",832936.644118296
"52600095",856864.132927648
"52600109",703691.28702191
"871096397",714177.134043661
"52600101",681063.484256581
"871096413",688740.207188881
"52600156",673966.043112417
"245802553",678535.223903829
"3213448208",669330.723723364
"1283634748",674281.505947272
"880187088",661512.071258408
"52600161",663891.863872009
"312718298",680920.955298844
"52600163",648252.237132221
"767737668",652785.594388531
"312718297",672915.021964668
"2296976215",727716.255278513
"777839562",696966.197518971
"30943508",701745.961854695
"3933082772",727277.707024061
"30943324",723409.219893955
"767737602",729722.335859618
"571377469",759379.641498822
"137172748",843234.89476859
"3945799000",926281.507740259
"777753015",933013.502742098
"777697587",940381.558154743
"777704431",945559.386676049
"774546107",948897.165308645
"777700831",954518.028559884
"137172723",813606.045137856
"247277203",837469.85074091
"3213448194",839913.413980656
"777737621",845925.835171274
"777813996",846870.237208745
"239064356",737981.445714183
"311908594",759630.960973915
"1492410220",778047.54600994
"1492383930",777812.921684265
"312718913",789577.158784883
"137181091",862797.408985304
"356215262",848039.262836717
"356215246",824615.354493387
"4419701256",799289.15043494
"1492410192",796630.296147623
"33675682",1011177.09306691
"3208518289",961769.039728259
"291210792",922980.399195985
"3208518292",911279.03508661
"3208518294",903585.94131769
"3208518296",858238.02077686
"3933090546",800045.09833993
"1042174041",792796.805833853
"137181160",788168.753414551
"356215139",804715.950666839
"356215222",826918.576484022
"356215182",833189.446028388
"356215206",842879.148858772
"137182981",846113.556211433
"1985546060",849567.43326712
"330775681",857761.926795697
"367849048",863294.934071442
"677245571",859472.823584239
"137181126",857682.407488508
"367849057",840059.224844607
"137181198",829838.009958026
"1283643431",863384.818412578
"4428364714",917633.72187472
"330116209",969221.81566179
"1985553019",1031039.6170286
"2717237166",1035456.19922326
"445190003",1045234.91553835
