"","closeness_centrality"
"945100984",47098.6188668375
"2628542551",48828.63664564
"945836670",50818.4525312673
"2628542539",51637.4891957186
"2628542537",52737.2534855137
"1474781831",54069.1527118025
"944020398",54536.5176007019
"1474781827",54942.1930422931
"1474781826",56202.4909978045
"1127343685",57171.85861345
"945836687",58119.2969162086
"1474781825",58818.5466333867
"1127343586",59541.3090926203
"1474781805",60627.4082108103
"1474781799",64195.0418054874
"945836718",69881.0543687056
"1127343605",71399.9462043704
"1474781780",72574.783500689
"1474781757",78024.8430488943
"1474781752",80248.9179714805
"945836668",83103.4043110023
"954589062",84014.9641210078
"944020555",17835.9026649186
"1474781864",17770.1850036336
"1033180104",17381.4573417817
"963257471",19709.7062310568
"1474781896",18769.3267752902
"4885384952",18217.7601756942
"1127343554",17940.4065034557
"3776764178",17940.4065034557
"3776764179",17995.482738325
"1460758738",18318.8555246555
"1460758822",18508.2777172113
"1460756697",17253.6727904357
"2647384546",17475.5556449597
"1474781859",17755.9256443353
"1460756687",17451.4917777011
"2647384552",17307.4193498214
"1460756684",17900.0474217486
"1460756680",18179.4825271084
"954589115",23716.4142397928
"1474781843",23778.3094312448
"2696067695",24143.7768502408
"2696067689",24195.6076692535
"3776684137",25165.5267170466
"944020463",26821.995135567
"954589007",28014.0215234746
"954588964",28603.2481761985
"961483290",29549.7129332037
"4885384922",29673.4272848142
"1127343550",31646.0470997349
"1127343548",33593.2398524513
"954589077",34532.9675486202
"954588858",37833.7631056535
"1474871875",36031.0932445131
"954588985",33293.7355941398
"2580448760",32573.9633167459
"954589143",31425.0188016478
"1474912006",30839.3889306147
"954588941",28773.9305851821
"1474781899",26497.8595902551
"4885399397",25359.5498688152
"945836715",24459.6868962656
"4513791586",23715.3479645557
"1033179890",23697.8705655612
"3776684139",23577.1984434751
"3776684138",23409.7809524944
"4513791584",23390.6678078947
"1033180071",23378.5430004353
"945836705",23378.5430004353
"3776764169",23550.4819775358
"4513791583",23654.3528439517
"945100843",70787.6722449015
"4265538908",70085.1798397387
"945100891",69181.5792662637
"945101092",68364.3998217382
"4265538906",67270.2842095285
"945101145",66412.5686460484
"2696095282",64421.7416301297
"945101025",63705.9198012917
"945101077",60764.0862475449
"4265538907",60095.6918232231
"945100944",59463.4844009544
"945100999",58854.0445308652
"945100865",58088.5405843206
"945100921",57517.7223554522
"945101121",56828.7058766859
"945101043",55758.6724263785
"4607896907",55130.1573441779
"945100904",55109.1324217644
"945100953",54219.3990332156
"945100840",52303.2405993497
"945100888",51698.1375476611
"2674708997",50703.9485267331
"945101088",49444.9861433049
"945101143",48205.7379510732
"945101017",47740.7292180279
"945101075",46681.5895492493
"945100940",45178.491900412
"945100995",44543.9201739212
"945100863",44217.6036916748
"945100919",43830.2541034154
"2674741951",43705.2941635066
"945101116",43515.5161094747
"1474912005",43283.3609170661
"945100853",42762.0722383082
"945101062",42565.0340702085
"945101108",42411.7177026931
"945100972",42356.8097101528
"2580448759",42346.6676231167
"945101035",42357.6676348796
"945100902",42436.7810665318
"945100951",42619.840572814
"945100838",42707.6254942126
"3644923779",42972.8760764474
"945100877",43123.9457246027
"945101085",43540.0517818447
"4607896923",43691.3491865125
"2696078003",43841.9328062879
"945101134",44135.1617127862
"4607896924",44417.4859221527
"945101007",44962.9918413058
"945101066",45401.3352642992
"945100926",46695.0335385818
"4607895388",46853.2458308133
"2647384554",17286.5886091243
"1474781876",17575.6902911515
"944020478",17255.77607907
"2674865374",17216.8929963686
"1127343633",17221.7360817296
"1127343714",17276.9718239328
"963257499",17648.9100502306
"944020536",18036.8271365531
