"","closeness_centrality"
"7150848",57322.7987775987
"2971710275",60277.1918903457
"526899968",62205.3662751282
"837864506",62150.1608252353
"571111923",61917.8366215716
"822267633",61642.6184988423
"369917",59279.9563464834
"1248748856",60064.2559655442
"1248748850",61395.2319446198
"259635748",62825.1810140068
"768516979",62596.0289382191
"369915",60787.3555197642
"1260357325",55260.3769579758
"1260357353",53607.8780248017
"371940",93006.5540851872
"371913",75388.7928941304
"371912",66987.0870077584
"371911",62924.9606021075
"371914",71447.2939255526
"440230",55558.666593822
"1475022791",56520.8109356441
"4013215677",59687.1523513846
"4013215678",62175.0073264004
"440228",65353.7403452303
"768517022",64227.2554459777
"243215281",61419.8593711704
"1248748863",60040.4721094866
"1248748846",60804.8330610195
"1248748857",61520.8376701569
"402404",62320.9073447166
"323259641",60063.714499754
"266719564",58587.7942262791
"323259630",60265.0581177616
"323259632",70997.3755396822
"1260570315",71041.489565949
"4770827934",71504.5745996854
"2815958259",71236.0608211195
"3320076006",70876.9180773456
"3176444227",70489.6135924887
"3320076093",70090.9792906196
"3320076045",69427.4501808958
"3320076088",68635.5988930384
"4770827932",67826.785418899
"3176444239",66865.3668154926
"3320076016",66295.0938935106
"4718460918",65414.6046656524
"3320076013",64257.4053628518
"4770827931",63494.8632201043
"4770827930",62624.1039265334
"2815958223",60907.5780823634
"439986",46926.769365251
"1085523741",51253.9239248001
"16259565",56414.1620994573
"1672856624",45795.570335091
"1672856626",46310.8402188301
"1475022824",46859.7836242488
"4726159799",47170.2246653365
"16259571",47091.7116069997
"4726159798",47625.0051573613
"1260357341",48377.6346391017
"2456571438",48941.2873906131
"371900",53378.6748129302
"371905",49754.0749807328
"16259569",48681.0295065604
"297783738",50291.9533127745
"16259567",50998.0232380801
"2268660023",53134.3343841661
"440231",80928.8197201062
"1326443578",79865.9423959593
"534840",62589.9691871726
"2351082690",46682.6266755911
"2351082680",47286.6585407926
"1672856620",47254.9693730154
"1672856619",47184.5033726622
"1475022823",47891.0729569815
"1085523771",49595.4262899378
"1085523808",52507.3210804504
"1297687299",52776.2799594331
"1297687392",54092.6413794551
"1297687368",54387.0727512063
"30353370",54624.2816540903
"1297687282",54788.6148327829
"1672856629",59316.09699324
"4773069068",59376.8311635799
"4773070132",59602.1037137876
"4773070071",59975.7245335074
"1299410180",60237.7837578633
"1299410185",60392.9718387033
"1475022825",61140.9916914796
"1475022826",61797.2849673678
"2351082716",60468.7213825162
"243216662",59747.8104656699
"243216291",58473.0176106345
"1672856632",57056.3181914806
"2351082707",55872.0649282542
"2351082705",54937.4293211966
"2351082709",54577.7072054585
"2351082697",48133.5423311833
"1672856628",47649.0227124109
"1672856625",46219.4420398054
"35468104",46103.8794940891
"1225170216",46705.8893067682
"4773156331",46947.2055665996
"1225170230",47264.3525905825
"1297686941",47272.65799686
"35468106",47539.140178944
"439985",46418.3345689517
"324343308",47024.8551107412
"439984",47773.0889186659
"1085523821",48226.068121051
"259658545",49569.4623775909
"1654231057",50333.7995149103
"564970514",51894.8972496822
"2480575519",52037.7425190432
"1052886668",51931.613155711
"213887",128907.775213585
"346139714",128305.780357835
"1201351504",119584.150470338
"213888",110908.966206127
"1446601707",103374.834166233
"371948",94814.458767773
"1088180486",87288.9066617436
"259635754",73566.4248571798
"1088179113",68177.8238579218
"1327484169",66842.5935649791
"768516989",64378.6473372201
"323182907",65835.5232237589
"1085523776",67275.4419400322
"279151259",71980.8619007179
"279255359",71161.0467972171
"244376521",66340.0663488978
"1323449207",65786.5551840164
"1323447841",66012.1436784112
"1323449203",66386.1018685965
"259635747",66018.4552069469
"1297686738",64198.9097765845
"259635753",60939.3104280219
"1297686793",62515.7746255594
"768517034",62861.2744322714
"259658707",56952.1132047514
"306288137",56024.3310824795
"1085523868",54763.5955442661
"564970515",53452.8039419182
"2480575523",52862.3101202573
"1052886719",66306.2142942163
"279151260",62748.8816021944
"1248748852",60566.33019869
"313324069",61867.4845581263
"1052886500",58933.1509162642
"1260357344",55129.4420888044
"1260357355",56129.707581826
"369916",58224.8026284956
"298272332",59296.3352761022
"1085523788",58833.3393305599
"2443610284",57139.7076459153
"1085523849",53656.1716226914
"1260357336",70724.2964999431
"279257445",62575.8414497415
"614086766",73505.80883383
"1260357331",59964.3371665613
"1260357316",60185.0842091043
"3239814960",60883.2624280748
"3869932690",53576.9471844161
"14188174",53129.3007778815
"1460291940",55877.6772920096
"3869932691",57099.7383445363
"1248748855",58251.195450775
"768516983",58515.8025869372
"1248748853",59029.0527517483
"564970513",62684.2585395044
"837864542",64487.58164116
"503905",70140.9920118676
"256412353",75235.4026724115
"503911",93567.2410882657
"1088180488",74354.28246209
"29490289",87364.2732355497
"4770811000",81477.7232799651
"264056681",75755.4055355195
"2971710022",71233.9819324887
"1248748864",60729.2233579263
"1248748859",60985.0959807116
"1248748862",61123.8442343238
"1248748860",61322.1881565127
"614086765",60636.0080913522
"1260305140",99386.927729276
"822272517",97565.0051254674
"822267629",90152.7343032822
"822267630",83125.9480955887
"822267631",79917.6876657648
"822267632",74821.0700051165
"1260305163",68428.7734409313
"1260305169",61164.374467366
"14188175",54745.9154197624
"1807845506",79713.7354342956
"1807845508",82652.8310773036
"1438464939",83552.4681578394
"2268660024",53289.3394852825
"1475017683",53308.0250571191
"1839248115",54315.5687425961
"1066288954",47281.494139712
"1066288891",47355.3897036335
"1066288803",47357.5406854569
"1066289021",47359.0552609377
"1066288991",47357.2520887547
"3055044687",47283.3565248332
"3055044684",47281.2055430098
"3055044677",47279.1687907367
