"","closeness_centrality"
"255562",31107.9173018662
"2409829457",32036.3234701706
"2198840140",39859.3500189828
"2198840132",40219.6090202024
"1684410088",41040.8958221685
"107339",27777.1011642852
"2409829440",28258.8526142023
"25502829",31643.3391438908
"9521029",38030.8220588454
"3054882702",39522.7292129578
"2494845032",48873.125394233
"107345",37023.3220881498
"25502866",37323.5235748878
"1684410081",32400.7595807793
"496812960",34293.6805373929
"333722500",30670.6636426915
"9521006",28743.3195346588
"108062",43831.003373254
"2425141027",43902.0347793777
"2425140535",43279.5852544642
"25495442",40428.3328610201
"25503800",34111.2200427863
"9521034",28450.7649662765
"25503799",29440.6594714433
"333722501",27159.3811419164
"9521018",27094.6569325728
"1685938592",28368.8639278315
"3054882703",28513.9814482249
"1716099125",37383.2278501138
"1953893721",31372.2949841073
"25503801",32735.9999596623
"333722494",32234.3327681682
"271949877",29690.0522690638
"3822896567",36895.3437730287
"9521033",39865.3017756549
"2440651558",40304.491938566
"333722491",35243.2012264243
"255578",44325.7891628224
"9521011",39398.8588031767
"333722495",33485.5378491424
"333722496",29788.0347291521
"333722502",29000.9659079961
"333722497",29651.3398090959
"333722498",31140.7506652623
"5216516550",28192.7924151197
"255563",25335.9435928719
"1685938596",28111.8449485484
"3054882705",27351.2138419826
"1685751692",43152.7601124704
"2420416207",42306.1511353691
"1617713618",34237.2792904312
"691084080",33113.722740301
"255564",32486.1096413377
"366906363",30118.7961431781
"25502834",29028.6580847411
"9791156",26510.9231304143
"496704385",28398.0260868468
"1126076446",28748.7494524819
"1684410080",32616.7273788789
"366905603",28749.8563120047
"1684410076",35868.4838683991
"2467533676",38801.6104011768
"255566",40458.7173132321
"1684410084",30502.009688483
"108053",36378.3945639213
"383974165",28473.8747196838
"383974166",36855.4374072197
"2409829435",30611.5680904198
"25472258",42640.768975046
"21533907",36066.9346868574
"107349",44332.3557093668
"333725770",45396.0975108246
"333725771",60275.5587916396
"692129349",27280.8136664962
"1684410113",26949.8842122197
"692129358",27284.5552455324
"2409829446",27350.7658407517
"25495421",34780.4642578232
"2440651554",38810.1954631124
"2440651555",39073.9820400127
"2409829438",27345.7926490293
"2409829434",27321.5408044995
"2409829452",27299.9315965882
"692129351",27768.8073415735
"2409829427",27824.6804069245
"2409829436",27692.6174483005
"2409829433",27492.5545605015
"311422343",51984.8352794333
"1508433070",50659.5217649876
"102005",49790.9904949352
"107343",41261.774620598
"3511341127",33976.7917929632
"735142648",16380.1050682061
"4303454977",16251.4967544855
"4303455889",16217.3840370651
"4303455916",16190.9646702927
"333722490",16283.920464525
"3524428937",16332.8571761763
"918548280",16401.6133686109
"9521031",37697.4958189695
"1126101190",30120.9741159252
"1647906601",27798.8640444068
"496813005",26677.1642966215
"411545972",25717.845438092
"1684410105",32716.3838782992
"1684410094",42942.4355083154
"1684410078",35684.961210667
"1684410083",30790.7226357179
"3054882704",28830.6534940938
"1685938594",29598.0175150597
"1685938595",29487.676981356
"2409829449",27983.98111098
"1617713615",33429.7351403357
"2409829432",31391.5230943539
"2409829444",31585.4938494332
"4310011451",27809.3277582557
"4310011457",27602.2599875152
"2425141030",43006.8720535115
"2425140534",42682.7857751792
"2417299495",38735.0860329506
"1716099103",38387.4362721184
"271949991",38193.7769343682
"1126076484",27024.6953949151
"3822812081",31144.6184919309
"333722499",31161.2989907416
"3822896566",37768.5947613279
"4696358371",38238.744182228
"2494845029",39609.7232454055
"5216516549",27942.0689282803
